cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
10421	5	9	6379	18	27	57	False
5670	2	2	5375	3	3	4	False
7566	5	8	3117	9	13	51	True
22139	3	8	939	10	13	21	False
24863	4	4	1688	2	2	2	False
23609	13	61	1711	38	175	407	False
37906	9	15	1059	23	41	258	False
35736	7	12	666	21	44	114	False
22763	9	18	637	31	89	323	True
51850	6	9	778	27	54	127	False
21563	9	31	913	27	76	388	False
17245	4	4	1513	11	13	47	True
27263	2	2	651	3	3	45	False
43531	10	17	1029	26	50	149	False
16553	1	1	408	1	1	1	False
27134	9	24	580	30	76	188	False
7538	11	29	1208	29	71	198	True
1294	12	49	494	35	178	844	True
23501	13	94	1587	35	244	1116	True
32115	12	41	566	33	122	315	False
49841	5	8	765	30	58	164	False
26912	10	36	391	28	92	303	True
37810	9	20	525	23	37	285	False
51442	2	3	1045	10	12	32	False
20381	8	33	383	26	75	594	False
33046	1	1	273	1	1	2	False
22651	3	5	497	7	9	25	False
738	11	34	387	33	117	260	True
52219	11	21	337	31	60	145	False
10409	13	80	592	32	169	570	True
52236	11	35	461	30	84	268	True
39660	13	49	602	30	113	613	False
10977	9	25	432	30	58	162	False
36700	6	14	172	21	41	133	False
34595	8	13	290	16	23	33	False
41841	4	4	130	11	14	50	False
24579	2	2	335	7	9	28	False
43641	3	4	399	2	2	4	False
31775	3	7	278	15	29	239	False
14237	1	1	241	4	4	295	False
9379	12	47	994	35	120	737	False
33769	12	34	370	31	92	191	False
1535	13	49	383	35	152	3542	False
18576	4	6	250	10	11	21	False
48615	6	9	302	13	15	220	False
2327	13	66	706	34	211	1037	False
50664	5	5	131	11	13	21	False
22160	4	6	100	13	18	27	True
4650	1	3	249	11	14	144	False
44162	11	25	650	26	50	120	False
31287	6	14	258	25	54	659	False
21257	11	21	381	25	46	114	False
1309	12	87	472	37	224	604	True
923	7	19	324	27	67	282	False
20382	2	2	194	2	2	7	False
41823	5	6	82	19	25	58	False
18638	1	1	255	3	3	4	False
19327	12	53	405	34	133	385	False
46056	10	16	207	24	41	111	False
25467	13	48	359	28	115	276	False
28586	9	19	212	27	46	182	False
47416	9	24	189	26	77	244	False
21425	1	2	111	2	3	4	False
33845	13	76	628	39	336	1168	False
13286	5	6	118	14	19	30	False
39469	7	24	167	28	63	329	True
31430	10	61	351	32	160	321	True
4848	5	9	145	14	18	37	False
26146	8	14	360	13	21	45	False
20367	12	126	628	36	311	1126	True
16478	2	2	157	5	6	13	False
45389	4	6	176	13	18	53	False
26903	12	52	708	36	128	770	True
2755	1	1	121	2	2	6	False
34601	13	42	377	36	138	428	False
18801	7	14	137	23	37	71	False
32102	13	186	1669	39	421	2574	False
4595	3	3	118	15	20	110	False
29440	10	46	527	32	109	342	True
50038	8	14	228	22	42	152	False
43155	2	4	593	2	3	5	False
46320	6	11	223	25	52	199	True
28815	8	35	287	29	66	429	False
27154	3	8	175	10	12	26	False
51749	7	14	235	23	39	96	False
36195	9	13	79	22	43	146	False
9924	2	3	195	3	3	5	False
33855	11	21	136	32	72	240	False
36420	1	1	148	1	1	3	False
47421	6	8	262	18	31	80	False
30496	1	1	158	2	2	3	False
34460	6	11	141	19	33	71	False
33628	6	9	464	10	12	46	False
15588	13	67	428	35	147	399	True
32108	13	91	835	38	261	1512	False
20881	11	79	281	39	306	1597	False
45996	1	1	118	1	1	1	False
20721	11	67	371	35	189	673	True
22317	6	10	125	26	64	321	False
7107	2	4	150	11	16	27	False
32451	8	29	210	30	61	127	False
22138	10	34	166	26	71	149	False
27042	13	155	526	39	408	1889	True
26901	12	51	314	33	104	264	False
1554	9	25	295	30	80	404	False
23592	13	213	1653	38	553	4168	False
39078	13	66	271	37	168	1583	False
13262	1	2	322	1	1	1	False
44955	13	103	664	37	263	1044	True
23598	11	16	129	31	66	262	False
24587	2	3	134	4	4	13	False
20124	11	42	375	26	85	319	False
30519	4	11	217	14	16	37	False
41807	9	29	140	26	93	203	False
1163	1	1	98	1	1	1	False
19645	11	34	299	30	109	343	True
7598	9	20	332	16	30	80	False
30332	2	3	110	11	11	34	False
1308	3	4	106	7	8	119	False
46773	5	7	175	11	17	34	False
30753	4	7	135	19	25	91	False
22770	5	9	117	19	33	103	False
20887	13	104	632	38	306	4428	True
8002	2	2	208	5	6	7	True
14921	6	8	124	15	22	34	False
43864	6	11	202	12	20	30	False
21267	8	17	174	20	35	52	False
32110	9	34	124	34	145	503	False
4766	2	2	75	2	2	4	False
2336	6	8	407	12	14	972	False
22545	1	2	105	9	9	21	False
7140	9	12	105	18	30	110	False
25450	11	51	410	33	146	411	False
41813	9	18	685	19	36	257	False
16253	7	22	222	19	28	64	False
31718	13	177	707	39	396	1699	False
23500	10	31	236	30	96	305	True
22858	1	1	106	1	1	8	False
1310	12	50	301	36	159	1287	True
13457	6	8	195	7	9	13	False
36689	11	42	219	30	129	682	False
34634	1	2	274	2	2	56	False
12106	1	1	113	1	1	2	False
31724	7	19	92	29	58	135	False
44980	4	6	166	16	20	140	True
48591	10	54	319	35	177	404	True
22642	13	50	278	33	132	448	True
32106	9	26	160	25	50	147	False
39727	2	5	94	9	12	14	False
28655	5	5	111	6	9	12	False
23777	3	4	109	6	7	13	False
37814	10	22	117	21	53	317	False
34101	9	20	174	27	59	151	True
38365	2	5	75	10	13	21	True
25221	10	29	149	29	62	134	False
5026	13	125	653	38	372	1047	True
27343	2	2	76	1	1	2	False
20895	12	45	663	36	143	1387	True
9535	6	8	146	16	26	76	False
39320	10	53	336	35	200	1078	True
24232	9	20	147	27	47	151	False
31726	11	62	371	34	136	332	False
18764	13	104	2714	37	321	1187	True
20366	11	57	296	33	147	867	False
2988	1	1	28	3	3	5	False
52025	11	23	138	25	48	222	False
765	5	8	69	21	35	87	False
6780	10	18	195	20	39	139	False
48173	5	9	62	9	9	25	False
18984	2	2	142	10	11	17	False
26900	13	142	947	38	459	2803	True
25199	13	52	259	35	119	705	False
35348	2	2	90	2	2	6	False
44046	13	123	589	39	389	2100	False
4965	1	1	61	1	1	28	False
34606	8	20	228	25	60	1108	False
22320	11	24	201	26	65	326	True
4452	5	7	94	11	13	20	True
39650	11	58	526	37	160	469	False
361	13	95	552	38	313	2185	True
33763	10	24	145	29	68	160	True
7825	5	7	136	27	43	111	False
9992	1	2	138	1	1	2	False
32116	13	62	355	37	188	841	False
30049	12	31	226	36	100	194	False
30281	11	36	136	34	120	503	True
32493	1	1	30	1	1	3	False
44634	11	39	182	36	130	347	True
20731	8	26	183	22	44	111	True
28592	9	37	361	28	103	692	False
38520	12	25	194	28	57	94	False
24226	8	14	109	25	57	224	False
27937	4	11	72	12	17	48	False
44045	12	71	286	37	194	496	True
47665	8	9	81	22	33	74	True
1537	13	62	493	35	199	680	True
15601	5	8	111	16	24	189	False
41818	6	13	57	5	5	9	False
13568	12	40	167	36	172	1321	False
49457	3	5	93	8	11	28	False
23503	13	73	969	34	195	694	True
48583	10	25	116	26	70	158	False
6004	2	3	113	8	8	22	False
30277	10	38	100	29	84	199	True
20134	6	7	93	9	14	20	False
35667	13	50	240	36	137	497	False
50672	7	13	103	26	55	110	False
5023	12	40	173	33	102	623	False
7536	6	9	115	21	30	69	False
24237	5	12	116	22	35	153	False
19630	6	15	166	24	43	244	False
43234	3	4	51	3	3	3	False
745	8	11	143	18	33	88	True
34638	5	6	53	11	13	65	False
34267	12	42	206	28	91	217	False
6021	3	4	113	17	26	93	False
