cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
10421	5	9	6379	19	39	211	False
5670	2	2	5375	9	9	16	False
7566	5	8	3117	15	31	575	True
3609	1	1	2526	1	1	4	False
22139	3	8	939	16	24	70	False
24863	4	4	1688	6	8	16	False
23609	13	61	1711	35	235	1149	False
37906	9	15	1059	30	75	355	False
35736	7	12	666	24	49	156	False
22763	9	18	637	32	102	389	True
51850	6	9	778	20	50	190	False
21563	9	31	913	30	120	362	False
17245	4	4	1513	9	12	49	True
43531	10	17	1029	27	85	553	False
16553	1	1	408	1	1	107	False
51089	2	2	427	1	1	28	False
27134	9	24	580	31	101	313	False
7538	11	29	1208	31	111	4449	True
1294	12	49	494	35	241	1385	True
23501	13	94	1587	38	349	1727	True
32115	12	41	566	36	170	1120	False
49841	5	8	765	24	54	206	False
26912	10	36	391	37	154	1972	True
37810	9	20	525	26	78	2421	False
51442	2	3	1045	12	15	78	False
20381	8	33	383	26	97	334	False
22651	3	5	497	12	13	28	False
738	11	34	387	38	157	461	True
52219	11	21	337	29	77	1352	False
10409	13	80	592	37	256	880	True
52236	11	35	461	33	103	542	True
39660	13	49	602	34	157	941	False
10977	9	25	432	34	87	709	False
36700	6	14	172	25	40	835	False
34595	8	13	290	20	38	219	False
41841	4	4	130	19	33	69	False
24579	2	2	335	5	7	24	False
43641	3	4	399	8	10	30	False
31775	3	7	278	15	22	125	False
14237	1	1	241	1	1	63	False
23656	1	1	224	1	1	1	False
9379	12	47	994	36	150	421	False
33769	12	34	370	34	158	1069	False
1535	13	49	383	37	216	3367	False
18576	4	6	250	18	23	39	False
48615	6	9	302	16	26	63	False
2327	13	66	706	39	335	1218	False
50664	5	5	131	11	14	131	False
22160	4	6	100	17	34	98	True
4650	1	3	249	11	13	30	False
44162	11	25	650	32	84	296	False
31287	6	14	258	30	90	226	False
21257	11	21	381	28	77	182	False
7689	1	1	164	1	1	2	False
1309	12	87	472	37	378	1631	True
923	7	19	324	32	89	296	False
20382	2	2	194	7	7	19	False
41823	5	6	82	16	27	59	False
18638	1	1	255	2	2	2	False
19327	12	53	405	34	186	537	False
46056	10	16	207	24	58	615	False
25467	13	48	359	35	137	490	False
28586	9	19	212	31	79	806	False
47416	9	24	189	31	81	219	False
21425	1	2	111	1	1	1	False
33845	13	76	628	39	428	2452	False
13286	5	6	118	15	27	65	False
39469	7	24	167	31	97	453	True
31430	10	61	351	36	205	597	True
4848	5	9	145	21	50	207	False
26146	8	14	360	23	42	84	False
20367	12	126	628	37	479	5093	True
16478	2	2	157	6	6	10	False
45389	4	6	176	11	14	99	False
26903	12	52	708	36	192	2722	True
2755	1	1	121	5	5	10	False
34601	13	42	377	35	188	1308	False
18801	7	14	137	29	59	564	False
32102	13	186	1669	39	613	2420	False
4595	3	3	118	19	27	1912	False
29440	10	46	527	36	151	520	True
50038	8	14	228	29	61	240	False
43155	2	4	593	2	2	6	False
46320	6	11	223	26	74	215	True
28815	8	35	287	32	115	511	False
27154	3	8	175	16	19	87	False
51749	7	14	235	22	49	194	False
36195	9	13	79	22	48	107	False
9924	2	3	195	5	5	6	False
33855	11	21	136	31	102	299	False
36420	1	1	148	3	3	7	False
47421	6	8	262	23	43	190	False
34460	6	11	141	21	30	117	False
33628	6	9	464	9	10	21	False
15588	13	67	428	37	229	1231	True
32108	13	91	835	39	423	2212	False
20881	11	79	281	38	381	1937	False
38092	1	1	146	1	1	1	False
20721	11	67	371	37	235	1942	True
22317	6	10	125	27	76	277	False
7107	2	4	150	16	25	199	False
32451	8	29	210	35	104	338	False
22138	10	34	166	31	130	341	False
27042	13	155	526	39	517	3403	True
39790	1	1	47	1	1	1	False
26901	12	51	314	33	175	2436	False
1554	9	25	295	28	130	668	False
23592	13	213	1653	39	733	3629	False
39078	13	66	271	33	206	835	False
44955	13	103	664	39	382	2551	True
23598	11	16	129	21	64	419	False
24587	2	3	134	6	6	9	False
20124	11	42	375	35	149	490	False
30519	4	11	217	13	14	30	False
41807	9	29	140	30	124	523	False
19645	11	34	299	36	153	589	True
7598	9	20	332	21	41	98	False
8976	2	2	98	2	2	2	False
2935	1	1	41	1	1	1	False
30332	2	3	110	8	8	37	False
1308	3	4	106	8	12	161	False
46773	5	7	175	18	26	133	False
30753	4	7	135	17	27	47	False
22770	5	9	117	25	43	471	False
20887	13	104	632	39	492	6565	True
8002	2	2	208	9	10	17	True
14921	6	8	124	18	38	120	False
43864	6	11	202	16	33	98	False
32186	1	1	125	3	3	8	False
21267	8	17	174	24	59	113	False
32110	9	34	124	36	188	856	False
4766	2	2	75	1	1	1	False
2336	6	8	407	14	19	48	False
22545	1	2	105	9	10	50	False
7140	9	12	105	25	43	596	False
25450	11	51	410	35	181	617	False
41813	9	18	685	15	43	126	False
16253	7	22	222	18	29	142	False
31718	13	177	707	39	575	2560	False
23500	10	31	236	33	122	1251	True
22858	1	1	106	1	1	115	False
1310	12	50	301	38	229	948	True
13457	6	8	195	9	11	17	False
36689	11	42	219	35	195	1060	False
34634	1	2	274	1	1	1	False
31724	7	19	92	35	96	335	False
44980	4	6	166	19	34	66	True
48591	10	54	319	36	250	686	True
22642	13	50	278	34	167	641	True
32106	9	26	160	30	98	263	False
39727	2	5	94	13	18	31	False
28655	5	5	111	12	12	16	False
36642	1	1	78	1	1	2	False
23777	3	4	109	13	19	48	False
37814	10	22	117	28	91	287	False
34101	9	20	174	32	93	242	True
38365	2	5	75	14	22	38	True
25221	10	29	149	29	86	244	False
5026	13	125	653	38	537	3192	True
27343	2	2	76	4	4	154	False
20895	12	45	663	37	186	780	True
9535	6	8	146	20	32	92	False
39320	10	53	336	37	285	894	True
24232	9	20	147	27	72	770	False
