cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
23498	37	395	4260	38	538	2631	True
51052	11	11	1405	5	7	8	False
41811	35	126	949	31	191	590	True
22165	15	19	225	11	18	29	True
7797	37	127	1563	35	175	988	True
43189	5	7	176	3	5	8	False
18782	11	12	409	16	20	96	False
22163	9	12	131	18	25	64	False
40984	33	78	596	34	117	423	False
46032	25	37	247	27	51	332	True
31137	37	305	1206	38	470	3487	False
39643	36	109	1489	34	163	711	True
7101	31	68	525	29	81	1288	True
28208	3	3	147	2	2	4	False
51737	18	34	173	22	37	113	False
48269	3	4	57	1	1	2	False
30884	4	4	242	2	2	2	False
15606	28	78	268	33	119	461	True
20747	17	27	185	24	49	598	True
7092	38	131	581	36	161	604	True
1638	23	27	711	16	37	929	False
26904	38	333	2856	38	470	7967	False
1606	11	13	183	11	18	63	False
17043	32	78	247	27	83	202	True
44064	39	206	619	37	274	1064	True
30757	28	55	399	31	75	4696	False
32103	40	638	4702	38	791	12131	False
49303	2	2	84	2	2	2	False
39320	35	200	1078	37	285	894	True
36554	2	2	99	2	2	4	False
5036	10	16	108	15	19	26	False
7100	25	51	358	27	66	166	False
42504	16	25	504	23	48	118	False
39347	25	49	579	29	85	695	False
27126	38	251	1059	39	353	1962	True
8205	37	335	1758	38	403	2214	True
48178	20	36	330	24	61	250	False
1294	35	178	844	35	241	1385	True
42510	35	94	836	33	116	603	True
40246	21	32	89	22	43	240	False
44645	8	9	56	10	13	21	False
32564	4	4	19	1	1	1	False
50065	26	42	1004	25	62	275	True
4877	11	13	96	7	9	202	False
1310	36	159	1287	38	229	948	True
27456	33	139	837	34	182	822	False
1561	26	42	149	30	62	156	True
46121	4	4	44	2	2	9	True
4985	5	5	48	4	4	36	False
11464	36	166	532	37	232	754	False
1541	31	68	552	29	63	237	False
28340	30	116	467	34	148	901	True
40416	18	23	113	12	14	22	False
757	24	34	134	23	42	162	False
4659	13	16	71	17	22	139	False
9416	9	9	49	13	16	20	False
7104	20	32	112	20	33	720	False
28586	27	46	182	31	79	806	False
787	9	12	58	9	14	58	False
19626	29	94	492	34	145	714	True
36494	3	3	73	2	2	2	False
22512	23	49	155	29	83	737	False
23501	35	244	1116	38	349	1727	True
17045	20	33	183	20	41	72	False
44046	39	389	2100	38	484	2592	False
29242	30	57	319	26	65	192	True
50866	38	121	1031	33	161	779	False
16424	31	133	467	36	189	584	True
26903	36	128	770	36	192	2722	True
31280	38	181	615	38	296	1247	True
20210	3	3	31	3	3	21	False
42948	23	50	159	25	65	131	False
3667	22	32	129	27	63	331	False
19332	12	15	39	13	22	43	False
7109	25	48	142	23	56	221	False
31458	22	32	2668	28	66	202	True
40172	32	65	301	34	124	388	False
30987	17	29	173	19	31	176	False
41558	32	83	1278	30	88	285	True
26594	39	190	783	38	255	1118	False
37234	20	29	98	20	37	80	False
16551	2	2	8	1	1	15	False
20908	28	74	257	31	95	527	False
14203	11	16	39	12	18	35	False
27043	27	55	179	29	68	265	False
33761	15	20	285	16	24	57	False
35680	34	148	603	35	193	1429	True
7111	15	29	62	18	27	76	False
30778	36	131	667	34	162	425	True
41635	6	6	36	4	4	4	False
8208	30	94	404	35	163	663	False
31447	9	14	45	12	15	24	False
26780	2	2	20	1	1	1	False
22686	7	7	25	4	4	5	False
31729	23	42	195	23	64	231	False
22640	33	123	423	35	166	490	True
18790	19	31	125	20	39	211	False
39321	35	131	447	32	179	2817	True
5027	37	152	1059	37	196	1374	True
23595	30	114	759	36	186	955	True
36689	30	129	682	35	195	1060	False
6606	34	142	715	33	186	613	False
7110	26	83	311	30	110	338	True
44169	32	88	257	32	131	723	False
10957	35	196	586	38	287	1034	True
22140	11	17	120	17	42	73	False
22327	26	81	265	34	140	627	True
22761	38	244	694	37	309	976	True
22643	38	291	1484	39	395	1825	True
39660	30	113	613	34	157	941	False
776	34	135	543	33	172	524	False
26912	28	92	303	37	154	1972	True
4607	13	16	63	16	24	51	False
1303	15	26	87	18	32	91	False
36194	25	49	555	27	76	201	False
18347	2	2	12	1	1	11	False
8262	13	16	37	12	19	58	False
32501	6	6	21	7	7	79	False
23974	18	28	86	22	47	207	False
47806	2	2	9	1	3	55	False
1960	30	102	383	28	94	289	False
47449	7	7	96	4	5	9	False
8716	14	19	106	20	29	65	False
37814	21	53	317	28	91	287	False
35666	33	87	334	29	134	298	False
43146	34	74	247	34	111	1245	False
13118	37	145	341	36	241	683	True
2929	10	14	33	12	24	116	False
29698	2	2	15	2	2	41	False
44959	40	311	979	37	414	1862	True
44194	17	29	119	23	44	212	False
43012	11	11	26	11	13	276	True
52236	30	84	268	33	103	542	True
36574	4	5	13	5	5	9	False
768	26	62	290	26	76	277	False
44057	36	156	1844	34	194	666	True
33589	34	142	562	33	185	1311	True
1575	4	4	14	7	8	89	False
26900	38	459	2803	39	622	5588	True
17611	11	19	58	19	28	96	False
20769	4	4	12	6	6	24	False
3341	26	76	226	34	114	850	False
20893	27	83	302	32	107	376	True
26920	12	15	44	13	17	79	False
9384	35	150	633	35	226	1008	True
8204	38	299	1277	38	425	2557	True
27670	30	83	668	27	107	401	True
359	37	222	546	37	291	1234	False
10960	36	140	1117	35	197	1581	True
27661	31	63	173	33	96	187	True
43590	9	9	35	9	9	32	False
9867	33	141	354	34	197	510	False
42944	38	216	1230	38	290	1707	False
50897	31	67	496	28	83	376	True
44055	36	194	1023	37	276	1293	True
27289	21	37	153	27	43	234	True
7798	39	185	496	38	289	1536	True
20886	36	255	979	37	317	1590	True
7240	10	10	37	13	21	39	False
23109	16	25	74	23	51	1070	False
34426	39	436	3210	39	552	4905	True
52260	25	43	88	27	52	420	False
43547	25	58	132	25	81	766	True
32684	4	4	24	1	1	1	False
27044	38	274	994	37	322	1122	False
30858	2	2	9	1	1	1	False
42943	39	453	1633	39	566	3101	False
34593	34	124	334	34	180	706	True
7803	14	17	113	17	25	91	False
43163	20	31	141	26	57	220	False
23608	34	107	1362	35	155	858	True
48172	28	99	466	32	158	1646	True
32820	22	47	137	29	62	214	False
37226	22	41	132	28	53	110	False
18760	34	111	387	33	166	432	False
28155	9	11	22	14	18	42	True
25992	18	22	77	18	27	73	False
33345	37	181	771	36	255	1376	False
3876	36	163	864	35	256	2863	True
5028	36	113	286	34	182	606	False
24227	31	61	145	28	91	363	False
1536	30	109	391	36	141	567	False
6169	12	13	115	19	34	116	False
15591	31	118	723	35	166	664	False
10421	18	27	57	19	39	211	False
5019	19	26	64	18	27	87	False
26739	13	16	33	12	20	422	False
32608	36	90	279	30	90	306	True
32609	38	436	2651	38	536	3268	True
42960	27	76	141	33	85	1188	True
14366	16	18	43	18	27	119	False
1537	35	199	680	37	283	1426	True
13571	31	94	519	34	151	523	False
33339	38	315	1296	36	405	2253	False
12980	5	5	25	6	6	9	False
33765	23	36	323	20	47	104	False
13970	27	70	193	34	118	274	False
33325	33	93	789	33	117	558	False
51227	35	178	763	37	262	1160	True
39149	8	10	14	9	11	14	False
51741	21	33	69	23	54	197	False
25984	22	45	96	26	69	423	False
42035	29	61	918	29	88	411	False
50872	18	43	301	32	119	338	False
14352	25	52	80	29	83	186	False
41807	26	93	203	30	124	523	False
21578	16	21	54	20	31	70	False
50941	2	2	5	3	3	5	False
7131	4	4	12	9	9	15	False
42926	39	402	1353	39	588	2507	True
38912	22	34	132	25	43	116	False
42013	34	98	371	33	111	237	True
16645	31	65	454	28	71	199	False
23604	34	79	326	29	90	195	False
20895	36	143	1387	37	186	780	True
36199	26	46	218	22	45	153	False
33759	33	129	1027	36	145	392	False
23609	38	175	407	35	235	1149	False
42175	25	53	145	22	60	247	False
6761	37	182	677	38	267	2342	True
22160	13	18	27	17	34	98	True
734	40	290	890	38	352	1979	False
129	14	16	32	9	9	11	False
2905	7	9	25	13	18	45	False
22286	2	2	30	2	2	2	False
26011	10	14	36	8	9	27	False
39342	23	38	74	26	61	314	True
39333	25	43	135	25	42	136	False
31804	6	6	16	9	12	82	False
39485	16	17	78	21	30	120	True
19327	34	133	385	34	186	537	False
20721	35	189	673	37	235	1942	True
41826	7	7	209	12	14	51	False
24294	2	2	24	1	1	1	False
33865	19	39	317	19	42	268	False
26907	32	184	536	34	248	1148	True
46451	15	19	133	20	39	139	False
51276	8	9	20	3	3	6	False
30975	38	289	800	37	431	1253	True
29445	30	97	240	32	129	496	True
31775	15	29	239	15	22	125	False
13684	2	2	5	2	2	5	False
42714	9	10	24	14	18	37	False
12985	8	8	14	7	7	18	False
740	34	219	566	36	281	812	True
37618	19	29	81	24	35	161	True
48256	2	2	3	1	1	2	False
25973	30	98	317	34	136	451	False
31143	15	22	95	23	38	206	False
44047	35	132	373	36	182	886	True
25197	33	141	524	35	212	1858	True
12946	31	102	322	33	153	678	True
48171	30	115	541	32	200	842	True
19340	18	24	47	16	30	56	False
36189	25	68	249	35	120	1061	True
44061	38	207	522	37	219	1179	True
1567	28	74	299	34	103	783	False
23770	31	63	423	32	84	444	True
48585	35	159	490	36	221	1655	False
51215	33	102	1213	32	118	335	True
30754	36	159	427	31	174	408	True
27042	39	408	1889	39	517	3403	True
41823	19	25	58	16	27	59	False
3872	23	42	70	28	65	183	False
44989	9	9	14	15	17	30	False
1526	37	336	2943	36	509	5034	False
43563	21	52	140	26	98	530	True
14233	3	3	24	2	3	13	False
31723	40	916	5351	39	1331	17663	False
22138	26	71	149	31	130	341	False
20731	22	44	111	28	92	400	True
31163	16	23	71	15	27	55	False
3915	13	21	80	17	26	59	True
25203	38	154	560	35	212	651	False
26601	29	74	245	27	89	550	True
40207	5	5	112	8	9	12	False
37908	25	42	202	24	53	200	False
20891	39	332	1891	39	450	2856	True
4595	15	20	110	19	27	1912	False
9383	31	82	258	26	63	243	False
18239	31	59	1264	23	56	168	False
37911	35	141	549	35	180	859	False
