cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
10421	5	9	6379	False
5670	2	2	5375	False
7566	5	8	3117	True
34776	1	2	2735	False
3609	1	1	2526	False
22139	3	8	939	False
24863	4	4	1688	False
23609	13	61	1711	False
37906	9	15	1059	False
35736	7	12	666	False
22763	9	18	637	True
51850	6	9	778	False
21563	9	31	913	False
17245	4	4	1513	True
27263	2	2	651	False
43531	10	17	1029	False
16553	1	1	408	False
7673	1	2	248	False
51089	2	2	427	False
27134	9	24	580	False
7538	11	29	1208	True
1294	12	49	494	True
49982	1	3	231	False
23501	13	94	1587	True
32115	12	41	566	False
49841	5	8	765	False
26912	10	36	391	True
37810	9	20	525	False
51442	2	3	1045	False
20381	8	33	383	False
33046	1	1	273	False
22651	3	5	497	False
738	11	34	387	True
52219	11	21	337	False
10409	13	80	592	True
49959	1	2	123	False
52236	11	35	461	True
39660	13	49	602	False
10977	9	25	432	False
36700	6	14	172	False
1161	1	2	255	False
34595	8	13	290	False
41841	4	4	130	False
24579	2	2	335	False
43641	3	4	399	False
31775	3	7	278	False
14237	1	1	241	False
23656	1	1	224	False
9379	12	47	994	False
33769	12	34	370	False
1535	13	49	383	False
18576	4	6	250	False
48615	6	9	302	False
2327	13	66	706	False
50664	5	5	131	False
22160	4	6	100	True
4650	1	3	249	False
44162	11	25	650	False
31287	6	14	258	False
21257	11	21	381	False
7689	1	1	164	False
1309	12	87	472	True
923	7	19	324	False
20382	2	2	194	False
41823	5	6	82	False
27894	2	2	117	False
18638	1	1	255	False
19327	12	53	405	False
46056	10	16	207	False
25467	13	48	359	False
28586	9	19	212	False
47416	9	24	189	False
21425	1	2	111	False
33845	13	76	628	False
13286	5	6	118	False
39469	7	24	167	True
31430	10	61	351	True
4848	5	9	145	False
26146	8	14	360	False
20367	12	126	628	True
16478	2	2	157	False
45389	4	6	176	False
26903	12	52	708	True
2755	1	1	121	False
34601	13	42	377	False
18801	7	14	137	False
32102	13	186	1669	False
4595	3	3	118	False
29440	10	46	527	True
50038	8	14	228	False
43155	2	4	593	False
46320	6	11	223	True
28815	8	35	287	False
27154	3	8	175	False
51749	7	14	235	False
36195	9	13	79	False
9924	2	3	195	False
33855	11	21	136	False
36420	1	1	148	False
47421	6	8	262	False
30496	1	1	158	False
34460	6	11	141	False
33628	6	9	464	False
15588	13	67	428	True
32108	13	91	835	False
20881	11	79	281	False
45996	1	1	118	False
38092	1	1	146	False
20721	11	67	371	True
22317	6	10	125	False
7107	2	4	150	False
32451	8	29	210	False
22138	10	34	166	False
27042	13	155	526	True
39790	1	1	47	False
26901	12	51	314	False
1554	9	25	295	False
23592	13	213	1653	False
39078	13	66	271	False
13262	1	2	322	False
44955	13	103	664	True
23598	11	16	129	False
24587	2	3	134	False
20124	11	42	375	False
30519	4	11	217	False
41807	9	29	140	False
1163	1	1	98	False
19645	11	34	299	True
7598	9	20	332	False
8976	2	2	98	False
2935	1	1	41	False
30332	2	3	110	False
1308	3	4	106	False
46773	5	7	175	False
30753	4	7	135	False
22770	5	9	117	False
20887	13	104	632	True
8002	2	2	208	True
14921	6	8	124	False
43864	6	11	202	False
32186	1	1	125	False
21267	8	17	174	False
32110	9	34	124	False
4766	2	2	75	False
2336	6	8	407	False
22545	1	2	105	False
7140	9	12	105	False
25450	11	51	410	False
41813	9	18	685	False
16253	7	22	222	False
31718	13	177	707	False
23500	10	31	236	True
22858	1	1	106	False
1310	12	50	301	True
13457	6	8	195	False
36689	11	42	219	False
34634	1	2	274	False
12106	1	1	113	False
11603	1	2	68	False
31724	7	19	92	False
44980	4	6	166	True
48591	10	54	319	True
22642	13	50	278	True
32106	9	26	160	False
39727	2	5	94	False
28655	5	5	111	False
36642	1	1	78	False
23777	3	4	109	False
37814	10	22	117	False
34101	9	20	174	True
38365	2	5	75	True
25221	10	29	149	False
5026	13	125	653	True
27343	2	2	76	False
20895	12	45	663	True
9535	6	8	146	False
39320	10	53	336	True
24232	9	20	147	False
31726	11	62	371	False
18764	13	104	2714	True
20366	11	57	296	False
2988	1	1	28	False
52025	11	23	138	False
16552	1	2	25	False
765	5	8	69	False
6780	10	18	195	False
48173	5	9	62	False
18984	2	2	142	False
26900	13	142	947	True
25199	13	52	259	False
35348	2	2	90	False
44046	13	123	589	False
4965	1	1	61	False
34606	8	20	228	False
22320	11	24	201	True
4452	5	7	94	True
39650	11	58	526	False
361	13	95	552	True
33763	10	24	145	True
7825	5	7	136	False
9992	1	2	138	False
32116	13	62	355	False
30049	12	31	226	False
30281	11	36	136	True
32493	1	1	30	False
44634	11	39	182	True
20731	8	26	183	True
28592	9	37	361	False
38520	12	25	194	False
24226	8	14	109	False
27937	4	11	72	False
44045	12	71	286	True
47665	8	9	81	True
1537	13	62	493	True
15601	5	8	111	False
41818	6	13	57	False
13568	12	40	167	False
5710	1	1	74	False
49457	3	5	93	False
24835	1	1	110	False
23503	13	73	969	True
