cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
23498	37	395	4260	True
51052	11	11	1405	False
41811	35	126	949	True
22165	15	19	225	True
7797	37	127	1563	True
43189	5	7	176	False
18782	11	12	409	False
22163	9	12	131	False
40984	33	78	596	False
46032	25	37	247	True
31137	37	305	1206	False
39643	36	109	1489	True
7101	31	68	525	True
28208	3	3	147	False
51737	18	34	173	False
48269	3	4	57	False
32520	4	6	783	False
30884	4	4	242	False
15606	28	78	268	True
20747	17	27	185	True
7092	38	131	581	True
1638	23	27	711	False
26904	38	333	2856	False
1606	11	13	183	False
17043	32	78	247	True
44064	39	206	619	True
30757	28	55	399	False
32103	40	638	4702	False
49303	2	2	84	False
39320	35	200	1078	True
36554	2	2	99	False
5036	10	16	108	False
7100	25	51	358	False
42504	16	25	504	False
39347	25	49	579	False
27126	38	251	1059	True
8205	37	335	1758	True
48178	20	36	330	False
1294	35	178	844	True
42510	35	94	836	True
40246	21	32	89	False
44645	8	9	56	False
32564	4	4	19	False
50065	26	42	1004	True
4877	11	13	96	False
1310	36	159	1287	True
27456	33	139	837	False
1561	26	42	149	True
46121	4	4	44	True
4985	5	5	48	False
11464	36	166	532	False
1541	31	68	552	False
28340	30	116	467	True
40416	18	23	113	False
757	24	34	134	False
4659	13	16	71	False
9416	9	9	49	False
7104	20	32	112	False
28586	27	46	182	False
787	9	12	58	False
19626	29	94	492	True
36494	3	3	73	False
22512	23	49	155	False
22076	3	4	25	False
23501	35	244	1116	True
17045	20	33	183	False
44046	39	389	2100	False
29242	30	57	319	True
50866	38	121	1031	False
16424	31	133	467	True
52137	3	4	21	False
26903	36	128	770	True
31280	38	181	615	True
20210	3	3	31	False
25081	3	3	10	False
42948	23	50	159	False
3667	22	32	129	False
19332	12	15	39	False
7109	25	48	142	False
31458	22	32	2668	True
40172	32	65	301	False
30987	17	29	173	False
41558	32	83	1278	True
26594	39	190	783	False
37234	20	29	98	False
16551	2	2	8	False
20908	28	74	257	False
14203	11	16	39	False
27043	27	55	179	False
33761	15	20	285	False
35680	34	148	603	True
7111	15	29	62	False
30778	36	131	667	True
41635	6	6	36	False
8208	30	94	404	False
31447	9	14	45	False
26780	2	2	20	False
22686	7	7	25	False
31729	23	42	195	False
22640	33	123	423	True
18790	19	31	125	False
39321	35	131	447	True
5027	37	152	1059	True
23595	30	114	759	True
36689	30	129	682	False
6606	34	142	715	False
49898	3	3	93	False
7110	26	83	311	True
44169	32	88	257	False
10957	35	196	586	True
22140	11	17	120	False
22327	26	81	265	True
22761	38	244	694	True
22643	38	291	1484	True
39660	30	113	613	False
776	34	135	543	False
26912	28	92	303	True
4607	13	16	63	False
1303	15	26	87	False
36194	25	49	555	False
29674	4	4	45	False
18347	2	2	12	False
8262	13	16	37	False
32501	6	6	21	False
23974	18	28	86	False
47806	2	2	9	False
16969	3	3	40	False
1960	30	102	383	False
47449	7	7	96	False
8716	14	19	106	False
37814	21	53	317	False
35666	33	87	334	False
43146	34	74	247	False
13118	37	145	341	True
2929	10	14	33	False
29698	2	2	15	False
44959	40	311	979	True
44194	17	29	119	False
43012	11	11	26	True
52236	30	84	268	True
36574	4	5	13	False
768	26	62	290	False
44057	36	156	1844	True
33589	34	142	562	True
1575	4	4	14	False
26900	38	459	2803	True
17611	11	19	58	False
20769	4	4	12	False
43026	3	3	12	False
3341	26	76	226	False
24736	2	2	12	False
20893	27	83	302	True
26920	12	15	44	False
9384	35	150	633	True
8204	38	299	1277	True
27670	30	83	668	True
359	37	222	546	False
10960	36	140	1117	True
27661	31	63	173	True
26111	2	3	15	False
43590	9	9	35	False
37975	5	5	16	False
9867	33	141	354	False
42944	38	216	1230	False
50897	31	67	496	True
44055	36	194	1023	True
27289	21	37	153	True
7798	39	185	496	True
20886	36	255	979	True
7240	10	10	37	False
23109	16	25	74	False
34426	39	436	3210	True
52260	25	43	88	False
43547	25	58	132	True
32684	4	4	24	False
27044	38	274	994	False
30858	2	2	9	False
42943	39	453	1633	False
34593	34	124	334	True
21847	4	4	10	False
7803	14	17	113	False
43163	20	31	141	False
23608	34	107	1362	True
48172	28	99	466	True
32820	22	47	137	False
37226	22	41	132	False
18760	34	111	387	False
28155	9	11	22	True
25992	18	22	77	False
33345	37	181	771	False
3876	36	163	864	True
5028	36	113	286	False
24227	31	61	145	False
1536	30	109	391	False
6169	12	13	115	False
15591	31	118	723	False
10421	18	27	57	False
5019	19	26	64	False
26739	13	16	33	False
32608	36	90	279	True
32609	38	436	2651	True
42960	27	76	141	True
14366	16	18	43	False
1537	35	199	680	True
13571	31	94	519	False
33339	38	315	1296	False
12980	5	5	25	False
33765	23	36	323	False
13970	27	70	193	False
33325	33	93	789	False
51227	35	178	763	True
39149	8	10	14	False
51741	21	33	69	False
25984	22	45	96	False
42035	29	61	918	False
50872	18	43	301	False
14352	25	52	80	False
41807	26	93	203	False
21578	16	21	54	False
50941	2	2	5	False
7131	4	4	12	False
42926	39	402	1353	True
38912	22	34	132	False
42013	34	98	371	True
16645	31	65	454	False
23604	34	79	326	False
20895	36	143	1387	True
36199	26	46	218	False
36058	1	2	6	False
33759	33	129	1027	False
23609	38	175	407	False
42175	25	53	145	False
6761	37	182	677	True
22160	13	18	27	True
734	40	290	890	False
129	14	16	32	False
2905	7	9	25	False
22286	2	2	30	False
26011	10	14	36	False
39342	23	38	74	True
39333	25	43	135	False
31804	6	6	16	False
39485	16	17	78	True
50855	2	2	3	False
19327	34	133	385	False
20721	35	189	673	True
41826	7	7	209	False
24294	2	2	24	False
33865	19	39	317	False
26907	32	184	536	True
46451	15	19	133	False
51276	8	9	20	False
30975	38	289	800	True
29445	30	97	240	True
31775	15	29	239	False
13684	2	2	5	False
42714	9	10	24	False
12985	8	8	14	False
740	34	219	566	True
37618	19	29	81	True
48256	2	2	3	False
25973	30	98	317	False
31143	15	22	95	False
44047	35	132	373	True
25197	33	141	524	True
12946	31	102	322	True
48171	30	115	541	True
19340	18	24	47	False
36189	25	68	249	True
44061	38	207	522	True
1567	28	74	299	False
23770	31	63	423	True
48585	35	159	490	False
51215	33	102	1213	True
30754	36	159	427	True
27042	39	408	1889	True
41823	19	25	58	False
3872	23	42	70	False
44989	9	9	14	False
1526	37	336	2943	False
43563	21	52	140	True
14233	3	3	24	False
15571	5	5	18	False
31723	40	916	5351	False
22138	26	71	149	False
20731	22	44	111	True
31163	16	23	71	False
3915	13	21	80	True
25203	38	154	560	False
26601	29	74	245	True
40207	5	5	112	False
50719	3	4	10	False
37908	25	42	202	False
6585	2	2	5	False
20891	39	332	1891	True
4595	15	20	110	False
9383	31	82	258	False
18239	31	59	1264	False
37911	35	141	549	False
48184	26	48	100	False
25212	39	296	1003	True
8537	31	101	273	True
24456	39	368	965	False
7796	32	106	325	False
43544	17	36	156	True
33365	20	36	147	False
48353	1	1	1	False
32108	38	261	1512	False
48196	13	22	44	False
29444	37	177	822	False
7211	2	2	6	False
25209	23	56	140	True
20890	29	65	486	False
18035	34	154	351	False
1814	36	148	538	False
47980	12	13	92	False
14918	28	88	312	False
26729	27	46	136	False
20725	35	166	651	False
22438	3	3	17	False
34115	13	17	94	False
3015	3	3	3	False
51850	27	54	127	False
42244	3	3	16	False
34113	17	19	129	True
51221	35	105	260	False
33347	27	77	225	False
7808	28	70	311	False
43541	13	18	85	False
24573	28	65	165	True
41042	2	2	233	False
41563	22	32	174	True
1291	25	72	238	True
3013	1	1	1	False
767	15	59	315	False
40897	3	3	7	False
35992	3	3	12	False
34600	34	240	859	True
13999	17	25	73	False
37805	38	435	1492	True
23497	39	312	1025	True
40993	29	85	196	True
28125	15	22	52	False
51234	16	26	476	False
22649	23	44	103	True
25201	23	41	128	False
12332	2	3	17	False
24459	39	203	1402	False
51804	2	2	2	False
32110	34	145	503	False
31745	10	11	40	False
20901	24	56	138	True
24565	37	159	565	True
39508	2	2	3	False
4601	39	251	1199	False
40176	31	79	576	False
18407	2	2	12	False
26758	8	8	88	False
50663	10	11	20	False
3067	2	2	2	False
2921	11	22	36	True
32116	37	188	841	False
13820	19	35	343	False
42536	17	19	41	False
35693	24	49	1456	False
47635	36	204	579	False
42485	36	153	609	True
33857	29	80	675	False
744	9	12	26	False
33760	37	152	428	True
1324	20	45	109	False
48587	37	158	495	True
18159	2	2	3	False
4639	8	9	100	False
24245	9	9	19	False
10429	26	44	106	False
22320	26	65	326	True
2955	3	4	9	False
42363	2	2	12	False
35115	9	9	13	False
46041	17	30	78	False
28115	5	5	12	False
38713	16	22	54	False
16421	38	251	814	False
39655	23	58	152	False
13572	22	44	108	False
3870	39	212	742	False
29784	9	10	18	False
41810	21	49	191	False
4630	3	3	10	False
2897	9	11	32	False
9864	29	57	207	False
44641	4	5	14	False
24517	6	6	27	False
1552	31	62	618	False
7393	2	2	7	False
40238	4	4	11	False
42519	31	70	657	True
6612	13	19	35	False
46033	28	50	99	False
31296	34	166	1039	True
40833	35	112	325	True
26384	28	99	262	False
34611	25	55	103	False
8679	23	48	142	True
8690	8	9	18	False
50642	13	22	837	False
39946	1	1	6	False
42157	25	37	108	False
36382	37	268	793	True
37068	4	4	16	False
17035	26	54	363	False
30291	13	23	48	True
21553	37	166	680	True
32175	4	4	6	False
32118	27	59	265	False
23772	33	202	744	True
39699	15	19	63	False
35718	21	30	135	False
23744	2	2	5	False
28351	27	41	113	True
104	13	21	52	False
31737	32	114	431	False
33772	25	48	98	False
25266	12	12	26	False
50864	29	109	298	True
20888	38	257	1302	False
48782	34	152	325	True
24270	19	29	71	False
44209	8	9	21	False
13971	23	32	55	False
34612	15	26	49	False
47109	18	32	75	False
33359	18	33	180	False
1522	39	291	1419	False
39498	14	15	44	False
49843	11	12	26	False
35653	36	183	840	False
31297	20	28	149	False
7097	30	74	321	True
28414	1	1	2	False
28358	10	11	65	False
26609	32	84	318	False
31292	34	195	523	True
23593	31	108	392	True
49433	8	13	43	False
19064	3	3	12	False
27615	2	2	3	False
23814	16	22	93	True
20881	39	306	1597	False
39983	11	16	458	False
39081	35	127	396	False
45505	2	2	17	False
31430	32	160	321	True
33894	4	5	20	False
26926	14	19	110	False
33378	25	46	197	False
31724	29	58	135	False
8574	2	2	4	False
46823	5	5	6	False
13997	31	80	232	False
49023	32	213	1007	False
42925	35	288	1025	True
47415	38	245	944	True
736	31	123	934	False
4428	36	267	981	True
34436	40	580	2711	True
27133	38	168	587	False
22153	12	19	34	False
40414	28	71	138	False
13991	34	183	709	True
29123	2	3	5	False
26744	31	55	137	False
26742	11	17	47	False
