cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
48172	32	158	1646	True
27477	32	132	3008	False
18966	14	24	1987	False
4600	31	123	3944	False
26912	37	154	1972	True
34600	38	365	2309	True
28123	14	18	773	False
30812	19	27	874	False
8107	1	2	557	False
40419	21	45	817	False
4877	7	9	202	False
7101	29	81	1288	True
29112	1	1	483	False
12937	39	439	6255	True
31436	29	66	954	True
7812	24	39	490	False
39981	29	118	734	False
18550	33	133	1004	False
32628	23	44	560	True
46748	32	106	947	False
39964	39	343	1946	True
1530	36	235	2050	True
20905	29	90	668	True
51727	27	73	829	False
36693	32	111	460	False
1314	14	49	582	False
35700	24	51	649	False
43012	11	13	276	True
39685	13	19	486	False
22157	4	4	77	False
30344	1	1	394	False
50440	25	43	340	True
38683	21	38	368	False
32128	22	41	1639	False
14431	1	1	329	False
1971	29	70	424	True
7527	37	281	1026	True
40426	12	20	363	False
32723	2	2	194	False
1797	36	207	918	True
25971	35	165	1067	False
33769	34	158	1069	False
44993	15	34	869	False
1998	12	20	375	False
33626	15	23	203	False
42019	38	184	913	False
10977	34	87	709	False
5444	29	114	531	True
48492	1	2	148	False
35651	37	353	4345	False
34598	36	426	2182	False
48184	25	77	2376	False
22135	20	42	822	False
31150	29	66	489	True
17610	30	114	609	False
2907	4	4	49	False
36301	1	1	131	False
31137	38	470	3487	False
30780	19	31	517	False
35924	2	2	160	False
15586	37	416	1920	True
39463	6	7	98	False
27475	28	104	5356	True
1294	35	241	1385	True
45380	37	295	1477	True
33332	33	204	1773	False
1596	30	114	743	False
22520	24	43	317	True
2915	14	28	395	False
9733	19	35	262	False
28591	27	69	861	True
40415	28	81	343	False
44625	38	388	1871	False
33347	33	116	978	False
40173	33	250	1034	True
41852	5	8	44	False
746	38	307	1363	False
39469	31	97	453	True
26588	35	193	593	False
20920	25	47	259	True
1533	26	77	712	False
3869	37	219	2108	True
761	4	4	115	False
22512	29	83	737	False
37805	39	713	3961	True
10785	1	1	95	False
736	33	135	2695	False
26604	22	35	455	False
50878	36	346	4087	False
20760	10	11	138	True
47111	36	217	811	False
35680	35	193	1429	True
49057	12	20	261	True
20745	22	42	378	True
27126	39	353	1962	True
23593	35	134	1043	True
48216	5	8	55	False
19101	1	1	101	False
39081	34	149	480	False
20728	26	44	584	False
1628	5	6	120	False
32792	32	135	460	False
767	16	100	892	False
12132	26	55	435	False
20888	37	321	1460	False
20925	6	138	564	False
31859	5	6	93	False
50880	34	168	843	False
29249	27	97	382	False
30979	36	208	932	True
34790	7	8	148	False
25247	23	66	273	False
7099	27	62	320	False
32108	39	423	2212	False
51345	2	2	82	False
27293	29	83	825	False
52251	19	46	457	False
25199	34	184	1199	False
27042	39	517	3403	True
22506	36	338	1466	True
46773	18	26	133	False
42016	30	86	1433	False
26734	33	108	686	False
37906	30	75	355	False
32103	38	791	12131	False
10064	35	210	2193	False
15122	25	58	222	True
12748	11	18	238	False
50922	4	6	59	False
42965	24	51	202	False
20886	37	317	1590	True
1292	34	145	653	True
47636	39	483	2830	True
45818	27	110	485	False
33851	38	377	2057	True
6174	29	77	395	False
27127	36	230	823	False
25968	38	618	3966	False
44061	37	219	1179	True
31145	27	55	248	False
35736	24	49	156	False
48175	14	28	131	False
34601	35	188	1308	False
25203	35	212	651	False
44047	36	182	886	True
22643	39	395	1825	True
44966	21	41	228	True
52225	17	33	597	False
4447	25	51	235	False
13038	4	8	112	True
24238	4	7	87	False
40997	10	13	161	False
2196	24	40	289	False
42933	26	68	248	False
782	19	36	143	False
8204	38	425	2557	True
30897	1	2	109	False
34432	38	330	1145	True
17150	2	4	150	False
18058	7	9	114	False
1310	38	229	948	True
22146	26	104	413	False
42492	37	364	1565	True
45543	1	1	71	False
