cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
10060	4	1336	False
2336	1	927	False
34615	1	1030	True
1521	7	1230	False
40978	11	1368	False
17033	10	922	True
47117	5	662	False
39965	22	800	True
10960	5	610	True
27042	22	705	True
39643	4	584	True
50865	3	403	True
16639	10	665	True
40975	11	907	True
26904	6	1059	False
10976	5	327	True
42966	1	717	True
31296	5	287	True
924	3	792	False
10974	1	268	True
7569	1	488	True
26594	6	359	False
19873	1	782	True
36923	3	370	False
6039	5	425	False
12943	6	386	True
31720	14	265	False
31440	2	278	True
34913	1	249	False
9379	6	414	False
29077	1	233	False
49148	4	359	False
40256	3	145	False
33636	1	222	False
36127	1	277	False
1542	4	273	False
17035	5	189	False
30757	2	161	False
40173	11	267	True
29929	1	191	False
25199	4	305	False
29447	8	419	True
17345	1	332	False
39078	17	534	False
21277	3	324	False
35908	2	247	False
7087	4	106	False
47133	1	252	False
11499	1	222	False
36194	3	163	False
3281	1	75	False
23770	1	197	True
5857	1	304	False
34621	3	212	True
47420	1	130	False
21255	6	393	True
25852	1	324	False
28592	7	345	False
30789	2	194	False
51247	1	121	False
15153	2	204	False
14941	3	136	False
39100	1	111	False
22145	1	55	False
23608	5	291	True
41817	4	90	True
50918	3	126	False
28341	4	198	True
37591	11	189	True
9729	4	146	False
47902	1	157	True
5174	2	261	True
28587	9	323	True
21550	4	146	False
26599	14	271	True
17615	1	309	False
45840	2	205	False
48460	1	121	False
31762	3	140	False
7552	4	251	False
5031	3	93	False
9996	1	196	False
20125	3	246	True
28573	2	113	True
1340	1	84	False
11470	5	291	True
49028	8	138	True
47416	4	109	False
51229	3	138	True
31138	5	133	True
31723	28	121	False
17031	3	135	True
974	1	81	False
28345	2	132	True
36688	2	89	False
51427	2	110	True
17841	3	122	False
28618	3	163	True
33689	1	91	False
30990	4	133	False
25970	15	52	False
26169	6	125	False
30940	1	122	False
25645	9	146	True
2185	13	186	True
45826	2	175	False
7591	1	123	False
27050	9	142	False
9381	14	170	False
49425	2	108	False
8204	7	131	True
36721	1	81	False
40831	4	143	False
19883	4	84	False
29245	18	125	True
4604	3	123	False
27123	9	130	True
6013	4	78	False
2357	1	26	False
34426	16	116	True
31141	2	118	False
51431	1	112	False
49156	1	79	False
42494	2	71	False
26587	8	157	False
1302	3	56	True
40584	2	182	False
45820	2	106	True
22760	5	114	True
34449	3	106	True
